ID,BPAQ_Hostility_Label,BPAQ_VerbalAggression_Label,BPAQ_Anger_Label,BPAQ_PhysicalAggression_Label,
0,Normal / High,Normal / High,High,Normal / High,
1,High,Normal / High,High,High,
2,Normal / Low,Normal / High,Normal / Low,Normal / Low,
3,Normal / High,Normal / High,High,Normal / Low,
4,Low,Low,Normal / High,Normal / High,
5,Normal / High,Normal / Low,Normal / Low,Normal / Low,
6,Low,Normal / Low,High,Normal / High,   
7,Low,Normal / Low,Normal / Low,Low,                                                                                                                                                              
8,Low,Low,Normal / Low,Low,
9,High,High,High,High,
10,Normal / Low,Normal / Low,Normal / High,Low,
11,Low,High,Normal / High,Low,     
12,High,High,Normal / High,Low,            
13,Low,Low,Low,High,                                                                                                                                                                     
14,Normal / High,Normal / High,High,Normal / Low,
15,Low,High,Normal / High,Normal / High,
16,Normal / Low,Normal / Low,Normal / Low,Normal / High,
17,Normal / High,Normal / High,Normal / High,Normal / Low,
18,Normal / High,Normal / Low,Normal / Low,Normal / High,
19,High,High,High,High,
20,Low,Low,Normal / Low,Low,
21,Normal / High,Normal / High,Low,High,
22,Normal / High,High,High,High,
23,Normal / Low,Normal / Low,High,Normal / High,
24,High,Normal / High,Normal / Low,Normal / High,
25,High,High,High,High,
26,High,Normal / High,High,Normal / Low,
27,Normal / High,Normal / Low,Normal / High,High,
28,Normal / Low,Normal / High,Normal / Low,Low,
29,High,Low,Normal / Low,Normal / High,
30,Low,Normal / High,High,Normal / High,
31,Normal / Low,Low,Normal / Low,Low,
32,Normal / High,High,Normal / High,High,
33,Low,Low,High,Normal / High,
34,High,Normal / High,Normal / Low,Normal / High,
35,Normal / High,Normal / High,Normal / Low,Normal / Low,
36,High,Normal / Low,Normal / High,High,
37,Low,Low,Normal / High,Normal / Low,
38,Low,Low,Low,Normal / Low,
39,Normal / Low,Low,Normal / Low,Low,
40,Low,High,High,Normal / Low,
41,Normal / Low,Normal / High,Normal / Low,Normal / High,
42,Normal / Low,Low,Normal / Low,Low,
43,Low,Normal / Low,Normal / Low,Normal / Low,
44,Normal / High,Normal / Low,High,Normal / High,
45,High,High,Normal / High,High,
46,Normal / High,Normal / Low,Low,Low,
47,Normal / High,Low,Low,Normal / Low,
48,Low,Normal / High,High,Normal / High,
49,Low,Low,Low,Low,
50,High,High,High,Normal / High,
51,Normal / Low,Normal / High,Normal / Low,High,
52,Normal / Low,High,High,Normal / Low,
53,High,Normal / High,Normal / High,Normal / High,
54,High,Normal / High,High,Normal / High,
55,Normal / High,Normal / Low,Low,Normal / Low,
56,High,High,High,High,
57,Normal / Low,Low,Low,Low,
58,Normal / High,High,High,Normal / High,
59,Low,Low,Normal / Low,Low,
60,Low,Normal / Low,Normal / Low,High,
61,Low,Low,Low,Normal / Low,
62,Normal / Low,Low,Normal / Low,Low,
63,Normal / High,Low,Normal / Low,Low,
64,Normal / Low,Normal / High,Low,Normal / Low,
65,Low,Normal / High,Normal / Low,Normal / High,
66,Normal / High,Normal / High,Low,Normal / High,
67,Low,Low,Low,Low,
68,Low,Normal / High,Low,Low,
69,High,High,High,High,
70,Low,High,Normal / Low,Normal / High,
71,High,Normal / High,High,High,
72,Normal / High,Low,Normal / Low,Low,
73,Normal / Low,Normal / Low,Normal / Low,Normal / High,
74,Normal / High,Normal / Low,Normal / High,Normal / High,
75,Low,Low,Low,Low,
76,Low,Low,Normal / Low,Low,
77,High,High,High,Low,
78,Normal / High,Normal / Low,Low,High,
79,Normal / High,Low,Low,Low,
80,Normal / Low,Normal / High,Low,Low,
81,High,Normal / High,Normal / Low,Low,
